           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                0        6927.0938                0        6926.0454                0        2175.8633                0
             -4.9               -5                0        4064.6553                0        3780.1714                0        3387193.5                0
             -4.8               -5                0        1152.1932                0       -1693.4385                0        6747959.5                0
             -4.7               -5                0       -2351.9465                0        1597.6833                0         10030815                0
             -4.6               -5                0        1716.2764                0        -1407.687                0         13248659                0
             -4.5               -5                0        12413.434                0       -4637.9971                0         16394480                0
             -4.4               -5                0        4490.2295                0       -11520.592                0         19410612                0
             -4.3               -5                0       -17453.443                0       -10181.152                0         22174326                0
             -4.2               -5                0       -7019.6133                0       -5046.7104                0         24770832                0
             -4.1               -5                0        21538.504                0       -171.70288                0         27184900                0
               -4               -5                0        26441.035                0        -370.2981                0         29440196                0
             -3.9               -5                0        9506.4062                0        -4145.043                0         31453450                0
             -3.8               -5                0       -1860.4165                0        4688.3623                0         33149184                0
             -3.7               -5                0        -2456.127                0        1120.8015                0         34557296                0
             -3.6               -5                0        12188.147                0        6719.6851                0         35649484                0
             -3.5               -5                0         13305.24                0        17050.326                0         36507288                0
             -3.4               -5                0        16030.061                0        13808.508                0         37123000                0
             -3.3               -5                0       -4950.5352                0        5599.1372                0         37550804                0
             -3.2               -5                0       -14881.409                0       -3821.1067                0         37569844                0
             -3.1               -5                0       -9982.9395                0       -7654.0444                0         37255408                0
               -3               -5                0       -5959.4551                0       -6177.5029                0         36729364                0
             -2.9               -5                0       -2810.9473                0        608.50049                0         35991708                0
             -2.8               -5                0       -692.51263                0        3837.1372                0         34965704                0
             -2.7               -5                0        311.91168                0       -12653.293                0         33516032                0
             -2.6               -5                0        825.81708                0        -20115.52                0         31894214                0
             -2.5               -5                0        849.19647                0        -18549.51                0         30100254                0
             -2.4               -5                0        382.05243                0        -7955.293                0         28134156                0
             -2.3               -5                0        -996.2019                0        908.51587                0         25946536                0
             -2.2               -5                0       -7716.4443                0        8123.2002                0         23590412                0
             -2.1               -5                0       -20767.541                0        22524.227                0         21122164                0
               -2               -5                0       -40149.426                0        44111.516                0         18541806                0
             -1.9               -5                0       -65862.156                0        72885.148                0         15849324                0
             -1.8               -5                0        -39355.02                0        56545.328                0         13013700                0
             -1.7               -5                0       -12200.635                0        34710.211                0         10165042                0
             -1.6               -5                0        3134.7715                0        17915.746                0          7319500                0
             -1.5               -5                0        6651.1484                0        6161.9658                0          4477077                0
             -1.4               -5                0        1529.4633                0        1291.8325                0        1642980.2                0
             -1.3               -5                0        11294.077                0        10017.895                0       -1096953.2                0
             -1.2               -5                0        16198.924                0        15491.977                0       -3737986.2                0
             -1.1               -5                0        16244.017                0        17714.094                0       -6280123.5                0
               -1               -5                0        11429.345                0        16684.234                0         -8723363                0
             -0.9               -5                0        4869.1143                0        8260.9814                0        -11000498                0
             -0.8               -5                0       -752.34546                0       -2958.1196                0        -13026179                0
             -0.7               -5                0       -9243.6055                0        -8531.335                0        -14871262                0
             -0.6               -5                0       -20604.654                0       -8458.6689                0        -16535744                0
             -0.5               -5                0       -34835.516                0       -2740.1235                0        -18019630                0
             -0.4               -5                0       -37669.168                0        8630.0947                0        -19200946                0
             -0.3               -5                0       -25429.225                0        15065.984                0        -20099476                0
             -0.2               -5                0         -1951.25                0        14752.165                0        -20756788                0
             -0.1               -5                0        32764.756                0        7688.6328                0        -21172880                0
                0               -5                0       -78718.773                0       -6124.6064                0        -21347750                0
              0.1               -5                0       -32764.756                0        7688.6328                0        -21172880                0
              0.2               -5                0          1951.25                0        14752.165                0        -20756788                0
              0.3               -5                0        25429.225                0        15065.984                0        -20099476                0
              0.4               -5                0        37669.168                0        8630.0947                0        -19200946                0
              0.5               -5                0        34835.516                0       -2740.1235                0        -18019630                0
              0.6               -5                0        20604.654                0       -8458.6689                0        -16535744                0
              0.7               -5                0        9243.6055                0        -8531.335                0        -14871262                0
              0.8               -5                0        752.34546                0       -2958.1196                0        -13026179                0
              0.9               -5                0       -4869.1143                0        8260.9814                0        -11000498                0
                1               -5                0       -11429.345                0        16684.234                0         -8723363                0
              1.1               -5                0       -16244.017                0        17714.094                0       -6280123.5                0
              1.2               -5                0       -16198.924                0        15491.977                0       -3737986.2                0
              1.3               -5                0       -11294.077                0        10017.895                0       -1096953.2                0
              1.4               -5                0       -1529.4633                0        1291.8325                0        1642980.2                0
              1.5               -5                0       -6651.1484                0        6161.9658                0          4477077                0
              1.6               -5                0       -3134.7715                0        17915.746                0          7319500                0
              1.7               -5                0        12200.635                0        34710.211                0         10165042                0
              1.8               -5                0         39355.02                0        56545.328                0         13013700                0
              1.9               -5                0        65862.156                0        72885.148                0         15849324                0
                2               -5                0        40149.426                0        44111.516                0         18541806                0
              2.1               -5                0        20767.541                0        22524.227                0         21122164                0
              2.2               -5                0        7716.4443                0        8123.2002                0         23590412                0
              2.3               -5                0         996.2019                0        908.51587                0         25946536                0
              2.4               -5                0       -382.05243                0        -7955.293                0         28134156                0
              2.5               -5                0       -849.19647                0        -18549.51                0         30100254                0
              2.6               -5                0       -825.81708                0        -20115.52                0         31894214                0
              2.7               -5                0       -311.91168                0       -12653.293                0         33516032                0
              2.8               -5                0        692.51263                0        3837.1372                0         34965704                0
              2.9               -5                0        2810.9473                0        608.50049                0         35991708                0
                3               -5                0        5959.4551                0       -6177.5029                0         36729364                0
              3.1               -5                0        9982.9395                0       -7654.0444                0         37255408                0
              3.2               -5                0        14881.409                0       -3821.1067                0         37569844                0
              3.3               -5                0        4950.5352                0        5599.1372                0         37550804                0
              3.4               -5                0       -16030.061                0        13808.508                0         37123000                0
              3.5               -5                0        -13305.24                0        17050.326                0         36507288                0
              3.6               -5                0       -12188.147                0        6719.6851                0         35649484                0
              3.7               -5                0         2456.127                0        1120.8015                0         34557296                0
              3.8               -5                0        1860.4165                0        4688.3623                0         33149184                0
              3.9               -5                0       -9506.4062                0        -4145.043                0         31453450                0
                4               -5                0       -26441.035                0        -370.2981                0         29440196                0
              4.1               -5                0       -21538.504                0       -171.70288                0         27184900                0
              4.2               -5                0        7019.6133                0       -5046.7104                0         24770832                0
              4.3               -5                0        17453.443                0       -10181.152                0         22174326                0
              4.4               -5                0       -4490.2295                0       -11520.592                0         19410612                0
              4.5               -5                0       -12413.434                0       -4637.9971                0         16394480                0
              4.6               -5                0       -1716.2764                0        -1407.687                0         13248659                0
              4.7               -5                0        2351.9465                0        1597.6833                0         10030815                0
              4.8               -5                0       -1152.1932                0       -1693.4385                0        6747959.5                0
              4.9               -5                0       -4064.6553                0        3780.1714                0        3387193.5                0
                5               -5                0       -6927.0938                0        6926.0454                0        2175.8633                0
               -5             -4.9                0        6405.1592                0         4832.123                0       -3389305.2                0
             -4.9             -4.9                0        3775.1726                0        4731.0488                0       -3329.5769                0
             -4.8             -4.9                0        1274.8394                0        1770.4749                0          3359702                0
             -4.7             -4.9                0       -2305.8782                0        1276.8594                0        6660302.5                0
             -4.6             -4.9                0       -730.27893                0       -1207.1865                0          9877036                0
             -4.5             -4.9                0        8363.1777                0       -10131.836                0         13028840                0
             -4.4             -4.9                0        24604.646                0       -24854.031                0         16116574                0
             -4.3             -4.9                0       -14786.561                0       -11614.014                0         18924198                0
             -4.2             -4.9                0        -32737.27                0        117.11816                0         21551532                0
             -4.1             -4.9                0       -23155.467                0        3431.7256                0         24021638                0
               -4             -4.9                0        -1567.708                0        2006.3535                0         26333286                0
             -3.9             -4.9                0       -14187.269                0        4927.1904                0         28420566                0
             -3.8             -4.9                0       -27747.684                0        3231.0205                0         30249752                0
             -3.7             -4.9                0       -42248.895                0       -3082.1504                0         31820832                0
             -3.6             -4.9                0       -33216.617                0        30.791992                0         33059116                0
             -3.5             -4.9                0        1164.1914                0        5737.6621                0         33971800                0
             -3.4             -4.9                0        12069.633                0        6441.3887                0         34696240                0
             -3.3             -4.9                0       -730.33081                0        2177.5688                0         35232760                0
             -3.2             -4.9                0       -11754.693                0       -7479.3682                0         35373248                0
             -3.1             -4.9                0       -11771.738                0        -14107.71                0         35173260                0
               -3             -4.9                0        -12663.76                0       -15426.564                0         34761660                0
             -2.9             -4.9                0       -1556.0117                0       -6589.6094                0         34155840                0
             -2.8             -4.9                0        15756.508                0        2414.7874                0         33302640                0
             -2.7             -4.9                0        9931.7324                0       -4218.5801                0         32113080                0
             -2.6             -4.9                0        3367.2729                0       -9166.5859                0         30683158                0
             -2.5             -4.9                0       -1602.2573                0        -10429.41                0         29024568                0
             -2.4             -4.9                0       -7062.3086                0       -2664.0295                0         27193838                0
             -2.3             -4.9                0       -6557.0884                0       -1704.6775                0         25134314                0
             -2.2             -4.9                0       -5474.4072                0       -6763.7119                0         22900026                0
             -2.1             -4.9                0       -10722.562                0       -4636.4326                0         20553616                0
               -2             -4.9                0        -18757.23                0        6331.1777                0         18128956                0
             -1.9             -4.9                0       -32806.715                0        31088.168                0         15631967                0
             -1.8             -4.9                0        -36305.73                0         43925.02                0         13067443                0
             -1.7             -4.9                0        -35111.48                0        52357.277                0         10462453                0
             -1.6             -4.9                0       -13380.656                0        32593.807                0        7722127.5                0
             -1.5             -4.9                0       -3468.8596                0         17871.02                0          4984923                0
             -1.4             -4.9                0       -2112.5132                0        11202.452                0        2254959.5                0
             -1.3             -4.9                0        14722.265                0        26520.104                0       -388605.38                0
             -1.2             -4.9                0        26697.275                0        38585.773                0       -2933270.5                0
             -1.1             -4.9                0        31721.412                0        43939.848                0       -5371001.5                0
               -1             -4.9                0        15057.668                0        19236.527                0         -7651656                0
             -0.9             -4.9                0        650.08423                0        6315.6777                0         -9781009                0
             -0.8             -4.9                0       -3679.5938                0        11281.047                0        -11684566                0
             -0.7             -4.9                0       -6970.5996                0        4946.7388                0        -13456708                0
             -0.6             -4.9                0       -12949.342                0       -1001.5474                0        -15060642                0
             -0.5             -4.9                0       -21797.891                0       -1303.9573                0        -16483978                0
             -0.4             -4.9                0       -25683.025                0        3484.7681                0        -17612100                0
             -0.3             -4.9                0        -17154.75                0        3107.4009                0        -18460480                0
             -0.2             -4.9                0        2611.5593                0       -4019.6838                0        -19067640                0
             -0.1             -4.9                0        28805.836                0       -6542.0049                0        -19477540                0
                0             -4.9                0       -64058.777                0       -3838.3389                0        -19703732                0
              0.1             -4.9                0       -28805.836                0       -6542.0049                0        -19477540                0
              0.2             -4.9                0       -2611.5593                0       -4019.6838                0        -19067640                0
