           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                0        21372.127                0        21372.441                0        -10176633                0
             -4.9               -5                0        12109.313                0         14138.78                0         -6824050                0
             -4.8               -5                0        3969.3357                0        3856.0854                0         -3467991                0
             -4.7               -5                0         1680.083                0       -797.48267                0       -172146.62                0
             -4.6               -5                0        661.02203                0        1143.4586                0          3071154                0
             -4.5               -5                0        2366.8521                0        3365.5137                0        6263297.5                0
             -4.4               -5                0        2302.5332                0        15868.729                0          9371862                0
             -4.3               -5                0        4750.4614                0        23490.848                0         12291550                0
             -4.2               -5                0         13582.96                0          12744.7                0         15060137                0
             -4.1               -5                0        22270.803                0       -4536.8472                0         17645200                0
               -4               -5                0        22591.699                0       -1956.0969                0         20046600                0
             -3.9               -5                0        7661.1611                0       -720.31616                0         22142146                0
             -3.8               -5                0       -1742.3955                0        6279.1841                0         23922256                0
             -3.7               -5                0       -1268.9756                0       -828.18848                0         25409180                0
             -3.6               -5                0        6100.9238                0       -1200.1973                0         26543300                0
             -3.5               -5                0        2391.0381                0         9404.084                0         27398030                0
             -3.4               -5                0        16330.683                0        3438.4097                0         27820688                0
             -3.3               -5                0        16081.137                0        753.18042                0         27976194                0
             -3.2               -5                0        5854.8921                0       -1779.1654                0         27647654                0
             -3.1               -5                0       -162.70654                0       -3663.6687                0         26894356                0
               -3               -5                0       -825.24475                0       -3301.5649                0         25832730                0
             -2.9               -5                0        3867.2578                0       -692.86182                0         24462770                0
             -2.8               -5                0        9217.4736                0         7027.853                0         22707036                0
             -2.7               -5                0        3438.9875                0        19413.791                0         20434294                0
             -2.6               -5                0        -194.8833                0        23736.004                0         17901588                0
             -2.5               -5                0       -1684.1201                0        19994.479                0         15108925                0
             -2.4               -5                0       -1028.7313                0        8189.2324                0         12056303                0
             -2.3               -5                0       -1170.6855                0       -2453.6826                0          8690186                0
             -2.2               -5                0       -11048.888                0       -11523.135                0          5062073                0
             -2.1               -5                0       -30943.781                0       -26451.311                0        1231278.2                0
               -2               -5                0       -60855.273                0       -47238.148                0         -2802180                0
             -1.9               -5                0       -100783.43                0       -73883.703                0       -7038315.5                0
             -1.8               -5                0       -55719.828                0       -55858.566                0        -11359685                0
             -1.7               -5                0       -11206.099                0       -33214.883                0        -15689436                0
             -1.6               -5                0        12356.661                0       -16296.922                0        -20035824                0
             -1.5               -5                0         14968.38                0       -5104.7344                0        -24398846                0
             -1.4               -5                0        3880.9565                0       -1485.1116                0        -28769052                0
             -1.3               -5                0        27964.359                0       -11509.667                0        -33014144                0
             -1.2               -5                0        38479.805                0       -17783.061                0        -37143884                0
             -1.1               -5                0        35427.316                0       -20305.316                0        -41158288                0
               -1               -5                0        18806.885                0       -19076.434                0        -45057352                0
             -0.9               -5                0        5070.7227                0       -10141.399                0        -48635104                0
             -0.8               -5                0         1724.042                0        1485.6553                0        -51703068                0
             -0.7               -5                0        -14113.96                0        7485.1211                0        -54508580                0
             -0.6               -5                0       -42443.258                0        7856.9961                0        -57051636                0
             -0.5               -5                0       -83263.906                0        2601.2783                0        -59332244                0
             -0.4               -5                0       -74625.016                0        20684.359                0        -61196304                0
             -0.3               -5                0       -41368.121                0        31833.553                0        -62654308                0
             -0.2               -5                0       -7138.8252                0        21796.486                0        -63756280                0
             -0.1               -5                0        28062.861                0       -9426.8438                0        -64502232                0
                0               -5                0        -64236.93                0       -61836.422                0        -64892152                0
              0.1               -5                0       -28062.861                0       -9426.8438                0        -64502232                0
              0.2               -5                0        7138.8252                0        21796.486                0        -63756280                0
              0.3               -5                0        41368.121                0        31833.553                0        -62654308                0
              0.4               -5                0        74625.016                0        20684.359                0        -61196304                0
              0.5               -5                0        83263.906                0        2601.2783                0        -59332244                0
              0.6               -5                0        42443.258                0        7856.9961                0        -57051636                0
              0.7               -5                0         14113.96                0        7485.1211                0        -54508580                0
              0.8               -5                0        -1724.042                0        1485.6553                0        -51703068                0
              0.9               -5                0       -5070.7227                0       -10141.399                0        -48635104                0
                1               -5                0       -18806.885                0       -19076.434                0        -45057352                0
              1.1               -5                0       -35427.316                0       -20305.316                0        -41158288                0
              1.2               -5                0       -38479.805                0       -17783.061                0        -37143884                0
              1.3               -5                0       -27964.359                0       -11509.667                0        -33014144                0
              1.4               -5                0       -3880.9565                0       -1485.1116                0        -28769052                0
              1.5               -5                0        -14968.38                0       -5104.7344                0        -24398846                0
              1.6               -5                0       -12356.661                0       -16296.922                0        -20035824                0
              1.7               -5                0        11206.099                0       -33214.883                0        -15689436                0
              1.8               -5                0        55719.828                0       -55858.566                0        -11359685                0
              1.9               -5                0        100783.43                0       -73883.703                0       -7038315.5                0
                2               -5                0        60855.273                0       -47238.148                0         -2802180                0
              2.1               -5                0        30943.781                0       -26451.311                0        1231278.2                0
              2.2               -5                0        11048.888                0       -11523.135                0          5062073                0
              2.3               -5                0        1170.6855                0       -2453.6826                0          8690186                0
              2.4               -5                0        1028.7313                0        8189.2324                0         12056303                0
              2.5               -5                0        1684.1201                0        19994.479                0         15108925                0
              2.6               -5                0         194.8833                0        23736.004                0         17901588                0
              2.7               -5                0       -3438.9875                0        19413.791                0         20434294                0
              2.8               -5                0       -9217.4736                0         7027.853                0         22707036                0
              2.9               -5                0       -3867.2578                0       -692.86182                0         24462770                0
                3               -5                0        825.24475                0       -3301.5649                0         25832730                0
              3.1               -5                0        162.70654                0       -3663.6687                0         26894356                0
              3.2               -5                0       -5854.8921                0       -1779.1654                0         27647654                0
              3.3               -5                0       -16081.137                0        753.18042                0         27976194                0
              3.4               -5                0       -16330.683                0        3438.4097                0         27820688                0
              3.5               -5                0       -2391.0381                0         9404.084                0         27398030                0
              3.6               -5                0       -6100.9238                0       -1200.1973                0         26543300                0
              3.7               -5                0        1268.9756                0       -828.18848                0         25409180                0
              3.8               -5                0        1742.3955                0        6279.1841                0         23922256                0
              3.9               -5                0       -7661.1611                0       -720.31616                0         22142146                0
                4               -5                0       -22591.699                0       -1956.0969                0         20046600                0
              4.1               -5                0       -22270.803                0       -4536.8472                0         17645200                0
              4.2               -5                0        -13582.96                0          12744.7                0         15060137                0
              4.3               -5                0       -4750.4614                0        23490.848                0         12291550                0
              4.4               -5                0       -2302.5332                0        15868.729                0          9371862                0
              4.5               -5                0       -2366.8521                0        3365.5137                0        6263297.5                0
              4.6               -5                0       -661.02203                0        1143.4586                0          3071154                0
              4.7               -5                0        -1680.083                0       -797.48267                0       -172146.62                0
              4.8               -5                0       -3969.3357                0        3856.0854                0         -3467991                0
              4.9               -5                0       -12109.313                0         14138.78                0         -6824050                0
                5               -5                0       -21372.127                0        21372.441                0        -10176633                0
               -5             -4.9                0        15032.601                0         12807.94                0       -6819148.5                0
             -4.9             -4.9                0        8292.7236                0        9835.7578                0       -3430141.2                0
             -4.8             -4.9                0        2489.6301                0        3670.5378                0        -36265.25                0
             -4.7             -4.9                0        2140.3191                0       -658.79688                0        3331190.8                0
             -4.6             -4.9                0        6178.8198                0        3242.9243                0          6636142                0
             -4.5             -4.9                0        11532.918                0        13915.474                0          9888670                0
             -4.4             -4.9                0        18381.344                0        30838.332                0         13087984                0
             -4.3             -4.9                0       -12162.103                0        19487.746                0         15996932                0
             -4.2             -4.9                0       -29035.348                0        5038.5654                0         18721938                0
             -4.1             -4.9                0       -21550.621                0       -1687.4131                0         21295118                0
               -4             -4.9                0       -2243.3403                0        3204.2151                0         23703632                0
             -3.9             -4.9                0       -11499.149                0        15325.544                0         25819540                0
             -3.8             -4.9                0        -24259.42                0        16984.053                0         27617888                0
             -3.7             -4.9                0        -40524.09                0        8179.7378                0         29098676                0
             -3.6             -4.9                0        -34237.32                0        7175.8604                0         30247436                0
             -3.5             -4.9                0       -2775.1665                0        1062.2722                0         30876556                0
             -3.4             -4.9                0        14747.533                0       -1891.1191                0         31237440                0
             -3.3             -4.9                0        18081.039                0       -1564.0579                0         31331168                0
             -3.2             -4.9                0        7877.6841                0       -3406.4937                0         30944624                0
             -3.1             -4.9                0       -370.74854                0       -6295.8018                0         30121092                0
               -3             -4.9                0       -3264.1113                0       -6938.4985                0         28989228                0
             -2.9             -4.9                0       -276.26416                0       -4175.4595                0         27492722                0
             -2.8             -4.9                0        5170.5298                0        4021.8794                0         25571896                0
             -2.7             -4.9                0       -4861.4556                0        15172.981                0         23115324                0
             -2.6             -4.9                0       -6980.2656                0        18468.906                0         20418478                0
             -2.5             -4.9                0       -3453.1899                0        16497.564                0         17492582                0
             -2.4             -4.9                0        2218.5098                0        6462.5059                0         14306726                0
             -2.3             -4.9                0        376.49219                0       -10930.441                0         10812718                0
             -2.2             -4.9                0       -16983.484                0       -34084.441                0          7061316                0
             -2.1             -4.9                0        -44360.16                0       -63097.188                0        3107232.8                0
               -2             -4.9                0       -61085.887                0       -68197.117                0       -1093715.9                0
             -1.9             -4.9                0       -56691.801                0       -44424.191                0       -5513046.5                0
             -1.8             -4.9                0       -22704.854                0       -40445.648                0        -10094994                0
             -1.7             -4.9                0        7013.8936                0       -40786.297                0        -14692956                0
             -1.6             -4.9                0        23780.867                0        -22180.52                0        -19161732                0
             -1.5             -4.9                0        19596.799                0       -9300.5078                0        -23647140                0
             -1.4             -4.9                0        1638.4672                0       -2455.0352                0        -28137796                0
             -1.3             -4.9                0        18312.383                0        1770.2285                0        -32489422                0
             -1.2             -4.9                0        21418.359                0         9746.625                0        -36725704                0
             -1.1             -4.9                0        10755.792                0         18334.58                0        -40843188                0
               -1             -4.9                0       -15480.641                0        2477.4038                0        -44791216                0
             -0.9             -4.9                0       -28844.424                0       -2080.4863                0        -48499560                0
             -0.8             -4.9                0       -8927.1484                0        4976.4004                0        -51854460                0
             -0.7             -4.9                0       -9672.6465                0        7951.0269                0        -54779632                0
             -0.6             -4.9                0        -28910.67                0        6455.2954                0        -57381264                0
             -0.5             -4.9                0       -60640.027                0       -668.03229                0        -59720444                0
             -0.4             -4.9                0        -52041.98                0        14522.746                0        -61619616                0
             -0.3             -4.9                0       -22601.752                0        22355.955                0        -63103028                0
             -0.2             -4.9                0        7810.8867                0        9002.8965                0        -64230412                0
             -0.1             -4.9                0         49409.43                0       -11016.449                0        -64930144                0
                0             -4.9                0       -112508.84                0       -32772.977                0        -65235896                0
              0.1             -4.9                0        -49409.43                0       -11016.449                0        -64930144                0
              0.2             -4.9                0       -7810.8867                0        9002.8965                0        -64230412                0
              0.3             -4.9                0        22601.752                0        22355.955                0        -63103028                0
              0.4             -4.9                0         52041.98                0        14522.746                0        -61619616                0
              0.5             -4.9                0        60640.027                0       -668.03229                0        -59720444                0
              0.6             -4.9                0         28910.67                0        6455.2954                0        -57381264                0
              0.7             -4.9                0        9672.6465                0        7951.0269                0        -54779632                0
              0.8             -4.9                0        8927.1484                0        4976.4004                0        -51854460                0
              0.9             -4.9                0        28844.424                0       -2080.4863                0        -48499560                0
                1             -4.9                0        15480.641                0        2477.4038                0        -44791216                0
              1.1             -4.9                0       -10755.792                0         18334.58                0        -40843188                0
              1.2             -4.9                0       -21418.359                0         9746.625                0        -36725704                0
              1.3             -4.9                0       -18312.383                0        1770.2285                0        -32489422                0
              1.4             -4.9                0       -1638.4672                0       -2455.0352                0        -28137796                0
              1.5             -4.9                0       -19596.799                0       -9300.5078                0        -23647140                0
              1.6             -4.9                0       -23780.867                0        -22180.52                0        -19161732                0
              1.7             -4.9                0       -7013.8936                0       -40786.297                0        -14692956                0
              1.8             -4.9                0        22704.854                0       -40445.648                0        -10094994                0
              1.9             -4.9                0        56691.801                0       -44424.191                0       -5513046.5                0
                2             -4.9                0        61085.887                0       -68197.117                0       -1093715.9                0
              2.1             -4.9                0         44360.16                0       -63097.188                0        3107232.8                0
              2.2             -4.9                0        16983.484                0       -34084.441                0          7061316                0
              2.3             -4.9                0       -376.49219                0       -10930.441                0         10812718                0
              2.4             -4.9                0       -2218.5098                0        6462.5059                0         14306726                0
              2.5             -4.9                0        3453.1899                0        16497.564                0         17492582                0
              2.6             -4.9                0        6980.2656                0        18468.906                0         20418478                0
              2.7             -4.9                0        4861.4556                0        15172.981                0         23115324                0
              2.8             -4.9                0       -5170.5298                0        4021.8794                0         25571896                0
              2.9             -4.9                0        276.26416                0       -4175.4595                0         27492722                0
                3             -4.9                0        3264.1113                0       -6938.4985                0         28989228                0
              3.1             -4.9                0        370.74854                0       -6295.8018                0         30121092                0
              3.2             -4.9                0       -7877.6841                0       -3406.4937                0         30944624                0
              3.3             -4.9                0       -18081.039                0       -1564.0579                0         31331168                0
              3.4             -4.9                0       -14747.533                0       -1891.1191                0         31237440                0
              3.5             -4.9                0        2775.1665                0        1062.2722                0         30876556                0
              3.6             -4.9                0         34237.32                0        7175.8604                0         30247436                0
              3.7             -4.9                0         40524.09                0        8179.7378                0         29098676                0
              3.8             -4.9                0         24259.42                0        16984.053                0         27617888                0
              3.9             -4.9                0        11499.149                0        15325.544                0         25819540                0
                4             -4.9                0        2243.3403                0        3204.2151                0         23703632                0
              4.1             -4.9                0        21550.621                0       -1687.4131                0         21295118                0
              4.2             -4.9                0        29035.348                0        5038.5654                0         18721938                0
              4.3             -4.9                0        12162.103                0        19487.746                0         15996932                0
              4.4             -4.9                0       -18381.344                0        30838.332                0         13087984                0
              4.5             -4.9                0       -11532.918                0        13915.474                0          9888670                0
              4.6             -4.9                0       -6178.8198                0        3242.9243                0          6636142                0
              4.7             -4.9                0       -2140.3191                0       -658.79688                0        3331190.8                0
              4.8             -4.9                0       -2489.6301                0        3670.5378                0        -36265.25                0
              4.9             -4.9                0       -8292.7236                0        9835.7578                0       -3430141.2                0
                5             -4.9                0       -15032.601                0         12807.94                0       -6819148.5                0
               -5             -4.8                0        6427.3271                0        4315.5508                0         -3453766                0
             -4.9             -4.8                0        2059.0071                0        5762.2197                0       -25024.125                0
             -4.8             -4.8                0       -1221.1465                0        3858.4812                0        3405273.8                0
             -4.7             -4.8                0       -2127.1787                0       -74.156616                0          6834721                0
             -4.6             -4.8                0        6923.4629                0        5611.9912                0         10201224                0
             -4.5             -4.8                0        17289.703                0        18068.967                0         13515300                0
             -4.4             -4.8                0        16233.105                0        20713.502                0         16748552                0
             -4.3             -4.8                0       -6308.8896                0         10169.74                0         19731024                0
             -4.2             -4.8                0       -13970.301                0       -725.91083                0         22423282                0
             -4.1             -4.8                0         -7688.71                0        3103.6697                0         24984580                0
               -4             -4.8                0        22950.729                0        14656.371                0         27394068                0
             -3.9             -4.8                0        26017.434                0        36019.906                0         29537504                0
             -3.8             -4.8                0        18931.916                0         48563.98                0         31356212                0
             -3.7             -4.8                0       -4129.1836                0        38946.465                0         32822254                0
             -3.6             -4.8                0       -24563.605                0        4880.3027                0         33817912                0
             -3.5             -4.8                0       -8210.1875                0        -1994.421                0         34391064                0
             -3.4             -4.8                0        10054.742                0       -2927.6357                0         34688220                0
             -3.3             -4.8                0        16971.303                0         411.7146                0         34720172                0
             -3.2             -4.8                0        7092.4551                0       -521.66309                0         34276108                0
             -3.1             -4.8                0       -3386.8062                0       -4415.7729                0         33382344                0
               -3             -4.8                0       -7826.7056                0       -4307.3892                0         32082546                0
             -2.9             -4.8                0       -2153.7017                0       -3009.1738                0         30469860                0
             -2.8             -4.8                0          6470.96                0        3954.8035                0         28470540                0
             -2.7             -4.8                0       -761.35205                0        17681.594                0         25936160                0
             -2.6             -4.8                0       -3798.9702                0        18913.932                0         23116844                0
             -2.5             -4.8                0       -2641.8809                0        7651.8193                0         20012608                0
             -2.4             -4.8                0        7148.2627                0       -2577.8999                0         16684931                0
             -2.3             -4.8                0        3606.1865                0       -26720.875                0         13063033                0
             -2.2             -4.8                0        -17305.34                0       -54043.531                0          9162641                0
             -2.1             -4.8                0       -24318.764                0       -45723.586                0          4987544                0
               -2             -4.8                0        -25072.25                0       -33092.066                0        641728.62                0
             -1.9             -4.8                0        -19565.83                0       -16148.943                0       -3874824.2                0
             -1.8             -4.8                0         4432.543                0       -14981.835                0         -8544681                0
             -1.7             -4.8                0        21301.998                0       -21037.818                0        -13252304                0
             -1.6             -4.8                0        27058.238                0       -30889.562                0        -17989248                0
             -1.5             -4.8                0        18011.861                0       -32345.146                0        -22684136                0
             -1.4             -4.8                0       -6817.4004                0       -22273.828                0        -27295238                0
             -1.3             -4.8                0        2447.0435                0       -3798.7549                0        -31753406                0
             -1.2             -4.8                0        4032.3506                0        943.15137                0        -36092112                0
             -1.1             -4.8                0       -7130.7441                0        788.50391                0        -40272208                0
               -1             -4.8                0       -32541.188                0       -486.06592                0        -44290128                0
             -0.9             -4.8                0       -47140.133                0        3587.7302                0        -48061576                0
             -0.8             -4.8                0       -31364.008                0        10886.172                0        -51470044                0
             -0.7             -4.8                0       -16700.826                0        10315.404                0        -54600432                0
             -0.6             -4.8                0       -3898.4055                0        2033.1851                0        -57448024                0
             -0.5             -4.8                0        -26536.49                0        -6957.749                0        -59845776                0
             -0.4             -4.8                0       -17979.238                0        5340.7246                0        -61780064                0
             -0.3             -4.8                0        2699.7178                0        11459.369                0        -63251240                0
             -0.2             -4.8                0        29747.193                0        9616.5293                0        -64302044                0
             -0.1             -4.8                0        76696.359                0        2009.3481                0        -64989180                0
                0             -4.8                0       -143547.27                0       -11362.166                0        -65312640                0
              0.1             -4.8                0       -76696.359                0        2009.3481                0        -64989180                0
              0.2             -4.8                0       -29747.193                0        9616.5293                0        -64302044                0
              0.3             -4.8                0       -2699.7178                0        11459.369                0        -63251240                0
              0.4             -4.8                0        17979.238                0        5340.7246                0        -61780064                0
              0.5             -4.8                0         26536.49                0        -6957.749                0        -59845776                0
              0.6             -4.8                0        3898.4055                0        2033.1851                0        -57448024                0
              0.7             -4.8                0        16700.826                0        10315.404                0        -54600432                0
              0.8             -4.8                0        31364.008                0        10886.172                0        -51470044                0
              0.9             -4.8                0        47140.133                0        3587.7302                0        -48061576                0
                1             -4.8                0        32541.188                0       -486.06592                0        -44290128                0
              1.1             -4.8                0        7130.7441                0        788.50391                0        -40272208                0
              1.2             -4.8                0       -4032.3506                0        943.15137                0        -36092112                0
              1.3             -4.8                0       -2447.0435                0       -3798.7549                0        -31753406                0
              1.4             -4.8                0        6817.4004                0       -22273.828                0        -27295238                0
              1.5             -4.8                0       -18011.861                0       -32345.146                0        -22684136                0
              1.6             -4.8                0       -27058.238                0       -30889.562                0        -17989248                0
              1.7             -4.8                0       -21301.998                0       -21037.818                0        -13252304                0
              1.8             -4.8                0        -4432.543                0       -14981.835                0         -8544681                0
              1.9             -4.8                0         19565.83                0       -16148.943                0       -3874824.2                0
                2             -4.8                0         25072.25                0       -33092.066                0        641728.62                0
              2.1             -4.8                0        24318.764                0       -45723.586                0          4987544                0
              2.2             -4.8                0         17305.34                0       -54043.531                0          9162641                0
              2.3             -4.8                0       -3606.1865                0       -26720.875                0         13063033                0
              2.4             -4.8                0       -7148.2627                0       -2577.8999                0         16684931                0
              2.5             -4.8                0        2641.8809                0        7651.8193                0         20012608                0
              2.6             -4.8                0        3798.9702                0        18913.932                0         23116844                0
              2.7             -4.8                0        761.35205                0        17681.594                0         25936160                0
              2.8             -4.8                0         -6470.96                0        3954.8035                0         28470540                0
              2.9             -4.8                0        2153.7017                0       -3009.1738                0         30469860                0
