           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                1         -23192.6                0       -23191.895                0          9939713                0
             -4.9               -5                1       -11891.779                0       -15408.879                0         12474812                0
             -4.8               -5                1       -2373.9187                0       -4537.8403                0         14891023                0
             -4.7               -5                1        677.30957                0       -2380.7021                0         17166680                0
             -4.6               -5                1       -2830.7971                0       -499.28412                0         19375058                0
             -4.5               -5                1       -20213.477                0        -2154.106                0         21517408                0
             -4.4               -5                1       -25493.002                0        271.04614                0         23568772                0
             -4.3               -5                1        -12328.32                0       -4469.3867                0         25512456                0
             -4.2               -5                1       -5749.9111                0       -12670.648                0         27179268                0
             -4.1               -5                1        -6880.375                0       -19982.404                0         28545270                0
               -4               -5                1       -6003.0576                0       -4730.2363                0         29789772                0
             -3.9               -5                1       -1889.4293                0        9428.2051                0         30936900                0
             -3.8               -5                1       -4157.0444                0       -19.068115                0         31939012                0
             -3.7               -5                1       -10382.213                0       -23879.811                0         32784248                0
             -3.6               -5                1       -18029.363                0       -36753.773                0         33526288                0
             -3.5               -5                1       -20248.582                0        -33329.59                0         34086112                0
             -3.4               -5                1       -11619.043                0       -12638.914                0         34353372                0
             -3.3               -5                1       -10166.756                0       -3393.4731                0         34495828                0
             -3.2               -5                1        2022.9131                0       -10862.066                0         34495804                0
             -3.1               -5                1         13275.48                0       -16475.121                0         34401380                0
               -3               -5                1         15664.26                0       -15231.437                0         34226832                0
             -2.9               -5                1         9189.292                0       -7131.0469                0         33972164                0
             -2.8               -5                1        1006.4373                0       -1945.5302                0         33567600                0
             -2.7               -5                1        8697.7715                0       -18276.461                0         32883616                0
             -2.6               -5                1        11816.336                0       -24922.854                0         32144902                0
             -2.5               -5                1         10362.12                0       -21884.684                0         31351476                0
             -2.4               -5                1        4335.1387                0       -9161.9863                0         30503332                0
             -2.3               -5                1        4560.9551                0        2101.0664                0         29637684                0
             -2.2               -5                1        11137.084                0        10757.062                0         28777940                0
             -2.1               -5                1        15227.125                0        25587.514                0         27900656                0
               -2               -5                1        16831.057                0        46592.352                0         27005844                0
             -1.9               -5                1        15948.902                0        73771.641                0         26093492                0
             -1.8               -5                1        13488.266                0         59239.98                0         25021664                0
             -1.7               -5                1        10616.403                0        38740.398                0         23948102                0
             -1.6               -5                1        7322.8789                0         21870.23                0         22906076                0
             -1.5               -5                1        3607.6924                0         8629.502                0         21895584                0
             -1.4               -5                1        435.07385                0        542.60278                0         20926088                0
             -1.3               -5                1        2847.9431                0        4936.5527                0         20067198                0
             -1.2               -5                1        3228.4673                0        9263.2148                0         19259880                0
             -1.1               -5                1        1576.6445                0        13522.595                0         18504132                0
               -1               -5                1       -2107.5271                0        17714.693                0         17799954                0
             -0.9               -5                1       -838.03601                0        15945.072                0         17105502                0
             -0.8               -5                1        6397.7354                0        7764.5239                0         16420372                0
             -0.7               -5                1        8985.0518                0        2296.7461                0         15810490                0
             -0.6               -5                1        6923.9102                0       -458.25488                0         15275854                0
             -0.5               -5                1        214.30701                0       -500.48438                0         14816464                0
             -0.4               -5                1        7073.5029                0       -3244.5051                0         14484795                0
             -0.3               -5                1        10955.967                0       -6325.4502                0         14250982                0
             -0.2               -5                1        3325.3755                0       -7643.4858                0         14093488                0
             -0.1               -5                1       -15818.277                0       -7198.6069                0         14012310                0
                0               -5                1        46474.988                0       -4990.8203                0         14007454                0
              0.1               -5                1        15818.277                0       -7198.6069                0         14012310                0
