           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                1       -1205.3715                0        -1204.476                0         31695570                0
             -4.9               -5                1       -511.94226                0       -597.39685                0         31728682                0
             -4.8               -5                1        4.0081043                0       -393.94876                0         31719944                0
             -4.7               -5                1        599.84277                0       -345.74173                0         31666992                0
             -4.6               -5                1       -751.34259                0        -198.3916                0         31586970                0
             -4.5               -5                1       -4506.0845                0        -1208.345                0         31483364                0
             -4.4               -5                1       -5192.1265                0        134.04877                0         31349058                0
             -4.3               -5                1       -3171.9148                0       -900.37048                0         31187744                0
             -4.2               -5                1       -1079.6232                0       -3304.4634                0         30942364                0
             -4.1               -5                1       -151.47034                0       -5466.8896                0         30620914                0
               -4               -5                1       -144.91257                0       -1291.4363                0         30277622                0
             -3.9               -5                1       -780.60925                0        3355.8071                0         29920592                0
             -3.8               -5                1       -2205.4148                0        2247.6465                0         29540934                0
             -3.7               -5                1       -3470.8506                0       -3964.8682                0         29136588                0
             -3.6               -5                1       -4179.2334                0       -6861.4453                0         28719124                0
             -3.5               -5                1        -3873.605                0       -5856.5815                0         28267256                0
             -3.4               -5                1       -1923.5854                0       -1997.5784                0         27760186                0
             -3.3               -5                1       -2598.7996                0       -499.70026                0         27235096                0
             -3.2               -5                1       -471.07639                0       -2484.4561                0         26698670                0
             -3.1               -5                1        2084.9202                0       -3831.8784                0         26156108                0
               -3               -5                1        2872.4961                0       -3447.9121                0         25606140                0
             -2.9               -5                1        1891.6597                0       -1332.5621                0         25048762                0
             -2.8               -5                1         413.5397                0        34.662781                0         24474612                0
             -2.7               -5                1        1693.9592                0       -4105.1025                0         23868590                0
             -2.6               -5                1        2181.2852                0        -5858.231                0         23262228                0
             -2.5               -5                1        1875.5156                0       -5224.7158                0         22655532                0
             -2.4               -5                1         776.6532                0       -2204.5659                0         22048498                0
             -2.3               -5                1        652.31396                0        448.23608                0         21453114                0
             -2.2               -5                1        1163.6229                0        2429.5527                0         20875972                0
             -2.1               -5                1        760.99438                0        5903.3052                0         20309244                0
               -2               -5                1       -555.57031                0        10869.479                0         19752928                0
             -1.9               -5                1       -2786.0708                0        17328.084                0         19207020                0
             -1.8               -5                1       -1086.5952                0        13533.751                0         18652804                0
             -1.7               -5                1        620.49902                0        8463.7783                0         18113596                0
             -1.6               -5                1        1335.8755                0        4491.7451                0         17594016                0
             -1.5               -5                1        1059.5303                0        1617.6602                0         17094064                0
             -1.4               -5                1        151.82146                0          194.058                0         16616803                0
             -1.3               -5                1        848.00232                0        1591.7229                0         16185205                0
             -1.2               -5                1        575.18469                0        2655.6333                0         15780582                0
             -1.1               -5                1       -666.63367                0        3385.7937                0         15402932                0
               -1               -5                1       -2877.4529                0        3782.2019                0         15052258                0
             -0.9               -5                1       -2594.5188                0        2921.9812                0         14724329                0
             -0.8               -5                1        1110.2311                0        1137.3772                0         14420339                0
             -0.7               -5                1        3151.5879                0        23.316162                0         14147457                0
             -0.6               -5                1        3529.5498                0       -420.20068                0         13905684                0
             -0.5               -5                1        2244.1169                0       -193.17358                0         13695020                0
             -0.4               -5                1        4215.5259                0       -618.42834                0         13537715                0
             -0.3               -5                1        4627.7158                0       -1436.7848                0         13423808                0
             -0.2               -5                1        1115.6371                0       -2189.8137                0         13344628                0
             -0.1               -5                1       -6320.7153                0       -2877.5139                0         13300173                0
                0               -5                1        17681.336                0       -3499.8872                0         13290446                0
              0.1               -5                1        6320.7153                0       -2877.5139                0         13300173                0
              0.2               -5                1       -1115.6371                0       -2189.8137                0         13344628                0
              0.3               -5                1       -4627.7158                0       -1436.7848                0         13423808                0
              0.4               -5                1       -4215.5259                0       -618.42834                0         13537715                0
              0.5               -5                1       -2244.1169                0       -193.17358                0         13695020                0
              0.6               -5                1       -3529.5498                0       -420.20068                0         13905684                0
              0.7               -5                1       -3151.5879                0        23.316162                0         14147457                0
              0.8               -5                1       -1110.2311                0        1137.3772                0         14420339                0
              0.9               -5                1        2594.5188                0        2921.9812                0         14724329                0
                1               -5                1        2877.4529                0        3782.2019                0         15052258                0
              1.1               -5                1        666.63367                0        3385.7937                0         15402932                0
              1.2               -5                1       -575.18469                0        2655.6333                0         15780582                0
              1.3               -5                1       -848.00232                0        1591.7229                0         16185205                0
              1.4               -5                1       -151.82146                0          194.058                0         16616803                0
              1.5               -5                1       -1059.5303                0        1617.6602                0         17094064                0
              1.6               -5                1       -1335.8755                0        4491.7451                0         17594016                0
