           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                0                0        78915.938                0       -79030.859                0        1.0003964
             -4.9               -5                0                0        80345.461                0       -79592.891                0       -15.574809
             -4.8               -5                0                0         81739.68                0       -79927.039                0       -19.677193
             -4.7               -5                0                0        83716.438                0       -78367.859                0       -13.640812
             -4.6               -5                0                0        85707.008                0       -76686.859                0      -0.74691713
             -4.5               -5                0                0        86865.484                0       -75235.961                0       -12.546822
             -4.4               -5                0                0        88045.844                0       -73114.438                0       -10.661385
             -4.3               -5                0                0         89383.32                0       -69555.555                0        27.537214
             -4.2               -5                0                0        89757.172                0       -65045.031                0        40.303558
             -4.1               -5                0                0        89372.414                0       -59731.742                0        19.598516
               -4               -5                0                0        89289.844                0       -53223.426                0       -14.969275
             -3.9               -5                0                0        89296.047                0       -45976.445                0       -24.450174
             -3.8               -5                0                0        88534.086                0       -38881.902                0        -19.12871
             -3.7               -5                0                0        87443.586                0       -31732.426                0         5.761508
             -3.6               -5                0                0        86234.242                0       -23920.039                0       -5.9083996
             -3.5               -5                0                0        84913.539                0       -15831.576                0       -20.478064
             -3.4               -5                0                0        82710.562                0       -6748.5098                0       -23.294075
             -3.3               -5                0                0        80508.156                0        2319.8618                0       -7.9428463
             -3.2               -5                0                0        78255.297                0        11491.397                0     -0.015393734
             -3.1               -5                0                0        75955.156                0        20744.914                0       -1.8807719
               -3               -5                0                0        73632.758                0        30019.541                0       -1.8835478
             -2.9               -5                0                0        71288.109                0        39315.293                0     -0.023728967
             -2.8               -5                0                0        68509.922                0        48263.992                0       0.45766369
             -2.7               -5                0                0        64473.625                0        56000.984                0       -6.0496025
             -2.6               -5                0                0        60467.027                0        63602.656                0       -8.8575201
             -2.5               -5                0                0        56490.156                0        71068.984                0       -7.9660702
             -2.4               -5                0                0        52542.992                0        78399.992                0       -3.3752656
             -2.3               -5                0                0        48614.273                0        84573.555                0       -1.2074547
             -2.2               -5                0                0        44713.234                0        89682.688                0       -3.1670723
             -2.1               -5                0                0        40851.875                0        94592.484                0       -4.7529945
               -2               -5                0                0        37030.203                0        99302.898                0       -5.9652061
             -1.9               -5                0                0        33248.211                0        103813.97                0       -6.8037233
             -1.8               -5                0                0        28981.195                0        104792.09                0       -7.7528076
             -1.7               -5                0                0        24699.498                0        104940.39                0       -7.5969734
             -1.6               -5                0                0        20515.578                0           104947                0         -6.15979
             -1.5               -5                0                0        16429.449                0        104811.89                0        -3.441288
             -1.4               -5                0                0        12481.851                0        104112.71                0      -0.38865709
             -1.3               -5                0                0        8947.0801                0        100263.58                0       -1.7608299
             -1.2               -5                0                0        5551.1562                0        96306.477                0      0.078269958
             -1.1               -5                0                0        2294.0708                0        92241.391                0        5.1286163
               -1               -5                0                0       -824.17334                0        88068.344                0        13.390211
             -0.9               -5                0                0        -3676.166                0         82231.93                0        8.1044645
             -0.8               -5                0                0       -6183.9067                0        74125.023                0       -9.9613209
