           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                0                0       -20483.227                0       -20790.068                0       -2.9342198
             -4.9               -5                0                0       -20471.758                0       -18798.082                0        10.395267
             -4.8               -5                0                0       -20626.508                0       -16699.199                0        12.048459
             -4.7               -5                0                0       -21091.998                0       -14069.611                0       -2.7675953
             -4.6               -5                0                0       -21685.842                0       -11384.326                0       -2.2623956
             -4.5               -5                0                0       -22096.986                0       -8659.2441                0       0.62460506
             -4.4               -5                0                0       -22726.367                0       -5793.5151                0         15.27119
             -4.3               -5                0                0       -23793.334                0       -2678.1941                0        11.962986
             -4.2               -5                0                0         -24749.9                0        520.62451                0       -2.6558502
             -4.1               -5                0                0       -25657.572                0        3789.2756                0       -16.810505
               -4               -5                0                0       -26927.256                0        7254.9141                0       -14.228043
             -3.9               -5                0                0       -28435.609                0        10815.156                0       -13.908796
             -3.8               -5                0                0        -29868.02                0        14330.852                0         -11.9209
             -3.7               -5                0                0       -31399.859                0        17859.676                0       -8.7226887
             -3.6               -5                0                0       -33348.059                0        21228.346                0       -5.4781179
             -3.5               -5                0                0        -35443.48                0         24553.43                0        5.8407774
             -3.4               -5                0                0       -37253.961                0        27900.803                0       -1.3521075
             -3.3               -5                0                0       -39187.832                0        31271.102                0       0.89067626
             -3.2               -5                0                0       -41489.738                0        34339.773                0        2.8029845
             -3.1               -5                0                0        -44046.73                0        37219.852                0      -0.82738775
               -3               -5                0                0       -46717.254                0         40090.91                0       -6.5095768
             -2.9               -5                0                0       -49501.309                0        42952.969                0       -14.243587
             -2.8               -5                0                0       -52256.621                0        45562.336                0       -17.708214
             -2.7               -5                0                0       -54660.457                0        47374.219                0       -5.4388599
             -2.6               -5                0                0       -57135.625                0        49117.625                0        2.0357261
             -2.5               -5                0                0       -59682.121                0         50792.57                0        4.7155137
             -2.4               -5                0                0       -62299.949                0        52399.031                0        2.6005239
             -2.3               -5                0                0       -65103.852                0        53438.492                0       -1.9455099
             -2.2               -5                0                0       -68062.641                0        53975.895                0       -4.1927948
             -2.1               -5                0                0           -71073                0        54439.078                0       -4.6539555
               -2               -5                0                0       -74134.914                0        54828.023                0       -3.3289814
             -1.9               -5                0                0       -77248.391                0        55142.746                0      -0.21788335
             -1.8               -5                0                0       -79635.086                0        54229.426                0        -4.550086
             -1.7               -5                0                0       -81879.438                0        53039.805                0       -7.8054848
             -1.6               -5                0                0       -84137.773                0        51813.539                0       -7.9826946
             -1.5               -5                0                0       -86410.086                0        50550.637                0        -5.081727
             -1.4               -5                0                0       -88703.977                0        49107.148                0       0.23892975
             -1.3               -5                0                0       -91061.297                0        46603.047                0        1.0042305
             -1.2               -5                0                0       -93423.547                0        44076.039                0      -0.34403229
             -1.1               -5                0                0       -95790.719                0        41526.117                0       -3.8058586
               -1               -5                0                0        -98162.82                0        38953.281                0       -9.3812618
             -0.9               -5                0                0       -99961.492                0        35913.535                0       -9.9879036
             -0.8               -5                0                0       -100942.03                0        32225.301                0       -2.5439844
             -0.7               -5                0                0       -101916.74                0         28514.73                0        3.0391524
             -0.6               -5                0                0       -102885.58                0        24781.828                0        6.7614985
             -0.5               -5                0                0       -103848.57                0        21026.588                0        8.6230555
             -0.4               -5                0                0       -104721.41                0        16944.268                0       -7.9044185
             -0.3               -5                0                0       -105537.94                0        12724.392                0       -9.3991604
             -0.2               -5                0                0       -106330.38                0        8494.8125                0        15.037714
             -0.1               -5                0                0       -107098.72                0        4255.5288                0        65.406212
                0               -5                0                0       -107842.97                0       -6.5433254                0        -141.7063
              0.1               -5                0                0       -107098.72                0       -4255.5288                0       -65.406212
              0.2               -5                0                0       -106330.38                0       -8494.8125                0       -15.037714
              0.3               -5                0                0       -105537.94                0       -12724.392                0        9.3991604
              0.4               -5                0                0       -104721.41                0       -16944.268                0        7.9044185
              0.5               -5                0                0       -103848.57                0       -21026.588                0       -8.6230555
              0.6               -5                0                0       -102885.58                0       -24781.828                0       -6.7614985
              0.7               -5                0                0       -101916.74                0        -28514.73                0       -3.0391524
              0.8               -5                0                0       -100942.03                0       -32225.301                0        2.5439844
              0.9               -5                0                0       -99961.492                0       -35913.535                0        9.9879036
                1               -5                0                0        -98162.82                0       -38953.281                0        9.3812618
              1.1               -5                0                0       -95790.719                0       -41526.117                0        3.8058586
              1.2               -5                0                0       -93423.547                0       -44076.039                0       0.34403229
              1.3               -5                0                0       -91061.297                0       -46603.047                0       -1.0042305
              1.4               -5                0                0       -88703.977                0       -49107.148                0      -0.23892975
              1.5               -5                0                0       -86410.086                0       -50550.637                0         5.081727
              1.6               -5                0                0       -84137.773                0       -51813.539                0        7.9826946
              1.7               -5                0                0       -81879.438                0       -53039.805                0        7.8054848
              1.8               -5                0                0       -79635.086                0       -54229.426                0         4.550086
              1.9               -5                0                0       -77248.391                0       -55142.746                0       0.21788335
                2               -5                0                0       -74134.914                0       -54828.023                0        3.3289814
              2.1               -5                0                0           -71073                0       -54439.078                0        4.6539555
              2.2               -5                0                0       -68062.641                0       -53975.895                0        4.1927948
              2.3               -5                0                0       -65103.852                0       -53438.492                0        1.9455099
              2.4               -5                0                0       -62299.949                0       -52399.031                0       -2.6005239
              2.5               -5                0                0       -59682.121                0        -50792.57                0       -4.7155137
