           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                1                0        50720.023                0        50753.211                0       0.37261319
             -4.9               -5                1                0        50707.914                0        53074.402                0       -1.3304703
             -4.8               -5                1                0        50698.105                0         55356.73                0       -2.0392172
             -4.7               -5                1                0        50636.391                0        57331.148                0      0.090581656
             -4.6               -5                1                0         50593.82                0        59298.098                0       0.32566607
             -4.5               -5                1                0        50416.066                0        61194.168                0        2.5217602
             -4.4               -5                1                0        50222.156                0        62966.383                0        1.0437286
             -4.3               -5                1                0         49986.27                0        64465.113                0      -0.52502811
             -4.2               -5                1                0         49741.02                0        65911.633                0      -0.35415053
             -4.1               -5                1                0        49500.004                0        67298.516                0        1.1787097
               -4               -5                1                0        49257.375                0         68447.07                0       -2.5505371
             -3.9               -5                1                0         49014.57                0        69388.055                0       -8.9032459
             -3.8               -5                1                0        48719.652                0        70274.195                0       -9.0822411
             -3.7               -5                1                0        48368.176                0        71124.406                0        -2.839359
             -3.6               -5                1                0        47966.465                0        71600.164                0       -1.5206213
             -3.5               -5                1                0        47551.574                0        71918.812                0       -1.8235846
             -3.4               -5                1                0        47145.734                0        72159.258                0        -1.326249
             -3.3               -5                1                0        46745.324                0         72372.93                0        -1.716625
             -3.2               -5                1                0        46363.289                0         72215.32                0      -0.38221622
             -3.1               -5                1                0         45999.82                0        71875.781                0       0.78027046
               -3               -5                1                0        45650.742                0        71500.562                0       0.58062947
             -2.9               -5                1                0        45316.047                0        71089.641                0      -0.98113501
             -2.8               -5                1                0         44945.09                0         70496.93                0       -2.4115255
             -2.7               -5                1                0        44433.672                0        69415.109                0       -0.3113634
             -2.6               -5                1                0        43938.707                0        68292.961                0       0.88787466
             -2.5               -5                1                0        43460.207                0        67130.516                0        1.1861837
             -2.4               -5                1                0        42998.168                0        65927.758                0       0.58356643
             -2.3               -5                1                0        42584.848                0         64429.41                0      -0.55471945
             -2.2               -5                1                0        42217.227                0        62678.633                0       -1.3061476
             -2.1               -5                1                0        41867.973                0        60897.473                0        -1.692256
