           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
                0                0                0        42.792606                0       -42.792606                0        30.635386                0
                0                0             0.02        89.795715                0       -25.003048                0        55.116501                0
                0                0             0.04        132.70505                0       -11.554985                0        80.728004                0
                0                0             0.06        171.52057                0       -2.4484024                0        107.46989                0
                0                0             0.08        206.24228                0        2.3167038                0        135.34213                0
                0                0              0.1        236.87021                0         2.740303                0        164.34479                0
                0                0             0.12        263.40436                0       -1.1775665                0        194.47781                0
                0                0             0.14        285.84467                0       -9.4369354                0        225.74121                0
                0                0             0.16        304.19122                0       -22.037773                0        258.13498                0
                0                0             0.18        318.44397                0       -38.980125                0        291.65918                0
                0                0              0.2        328.60291                0       -60.263931                0        326.31366                0
                0                0             0.22        334.66806                0       -85.889236                0        362.09857                0
                0                0             0.24        336.63943                0       -115.85605                0        399.01392                0
                0                0             0.26        334.51697                0       -150.16429                0        437.05957                0
                0                0             0.28        328.30072                0       -188.81409                0         476.2356                0
                0                0              0.3        317.99066                0       -231.80536                0        516.54205                0
                0                0             0.32        303.58685                0       -279.13806                0        557.97888                0
                0                0             0.34        285.08923                0       -330.81223                0        600.54602                0
                0                0             0.36        262.49777                0       -386.82803                0        644.24365                0
                0                0             0.38        235.81256                0       -447.18518                0        689.07153                0
                0                0              0.4        205.03354                0       -511.88391                0        735.02991                0
                0                0             0.42        170.16069                0       -580.92407                0        782.11865                0
                0                0             0.44        131.19412                0       -654.30566                0        830.33777                0
                0                0             0.46        88.133614                0       -732.02899                0        879.68732                0
                0                0             0.48         40.97945                0       -814.09357                0        930.16705                0
                0                0              0.5       -10.268509                0       -900.49957                0        981.77728                0
                0                0             0.52       -31.130257                0        -811.9317                0         900.5603                0
                0                0             0.54       -50.219296                0       -727.74274                0        821.01196                0
                0                0             0.56       -67.535683                0       -647.93262                0        743.13202                0
                0                0             0.58       -83.079308                0       -572.50171                0         666.9209                0
                0                0              0.6        -96.85025                0       -501.44965                0         592.3783                0
                0                0             0.62       -108.84847                0       -434.77664                0        519.50439                0
                0                0             0.64       -119.07398                0       -372.48273                0        448.29919                0
                0                0             0.66        -127.5268                0       -314.56763                0        378.76242                0
                0                0             0.68       -134.20689                0       -261.03168                0        310.89447                0
                0                0              0.7       -139.11427                0       -211.87476                0        244.69519                0
                0                0             0.72       -142.24896                0       -167.09668                0        180.16434                0
                0                0             0.74       -143.61092                0       -126.69774                0        117.30231                0
                0                0             0.76       -143.20018                0       -90.677788                0        56.108902                0
                0                0             0.78       -141.01674                0        -59.03685                0       -3.4158325                0
                0                0              0.8       -137.06056                0       -31.774803                0       -61.272148                0
                0                0             0.82       -131.33171                0       -8.8918304                0       -117.45969                0
                0                0             0.84       -123.83014                0        9.6121368                0       -171.97855                0
                0                0             0.86       -114.55583                0        23.737152                0       -224.82895                0
                0                0             0.88       -103.50885                0        33.483124                0       -276.01059                0
                0                0              0.9       -90.689156                0        38.850105                0       -325.52356                0
                0                0             0.92       -76.096725                0        39.838089                0       -373.36801                0
                0                0             0.94       -59.731617                0        36.447063                0       -419.54373                0
                0                0             0.96       -41.593807                0        28.677059                0       -464.05081                0
                0                0             0.98       -21.683229                0        16.528009                0       -506.88943                0
                0                0                1                0                0                0                0        -548.0592                0
