           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                0       -12894.079                0       -12899.859                0         56483524                0
             -4.9               -5                0       -19651.514                0       -6209.4673                0         56412896                0
             -4.8               -5                0       -12565.688                0        453.20319                0         56182808                0
             -4.7               -5                0       -755.98511                0        1377.2338                0         55786340                0
             -4.6               -5                0        4402.4302                0        385.74283                0         55285528                0
             -4.5               -5                0        22295.436                0        2112.3125                0         54664136                0
             -4.4               -5                0        7188.8955                0       -8406.5166                0         53882208                0
             -4.3               -5                0       -18591.264                0       -20594.055                0         52856376                0
             -4.2               -5                0        -15858.75                0        -21403.34                0         51646656                0
             -4.1               -5                0        7209.5063                0       -9332.6738                0         50269672                0
               -4               -5                0        13958.807                0        -2637.158                0         48800040                0
             -3.9               -5                0        3840.3276                0       -584.40894                0         47204912                0
             -3.8               -5                0       -1791.6602                0        4568.6006                0         45409444                0
             -3.7               -5                0       -379.86505                0        5373.9062                0         43452316                0
             -3.6               -5                0        6984.6133                0        8320.7344                0         41359476                0
             -3.5               -5                0        7050.3398                0        12154.459                0         39172728                0
             -3.4               -5                0        7803.1514                0        7508.1704                0         36866272                0
             -3.3               -5                0       -1850.3982                0        2429.6541                0         34492008                0
             -3.2               -5                0       -7198.2412                0       -2268.5491                0         31981908                0
             -3.1               -5                0       -6229.1914                0       -4148.1577                0         29374060                0
               -3               -5                0       -5499.6152                0       -3054.2085                0         26709328                0
             -2.9               -5                0       -5009.5107                0        1013.2888                0         23987712                0
             -2.8               -5                0       -4051.7446                0        3933.4207                0         21187842                0
             -2.7               -5                0       -1569.7091                0       -2673.3245                0         18294238                0
             -2.6               -5                0        3.1287842                0       -5973.1299                0         15390356                0
             -2.5               -5                0        666.76093                0       -5965.9824                0         12476206                0
             -2.4               -5                0        421.19214                0       -2651.8918                0          9551782                0
             -2.3               -5                0         1133.589                0       -451.29395                0          6621428                0
             -2.2               -5                0        3522.7544                0        664.41309                0        3714298.5                0
             -2.1               -5                0        6275.8467                0        4324.0371                0        835589.75                0
               -2               -5                0        9392.8525                0         10527.56                0       -2014685.2                0
             -1.9               -5                0        12873.782                0            19275                0         -4836537                0
             -1.8               -5                0        8238.6914                0        15528.058                0       -7583606.5                0
             -1.7               -5                0        3536.0352                0        9929.2686                0        -10243564                0
             -1.6               -5                0        625.13281                0        5438.4961                0        -12821346                0
             -1.5               -5                0       -494.00928                0        2055.7441                0        -15316946                0
             -1.4               -5                0        512.22961                0        244.20374                0        -17723648                0
             -1.3               -5                0        4862.0396                0        1955.3408                0        -19981476                0
             -1.2               -5                0        9507.8789                0        3161.4863                0        -22124052                0
             -1.1               -5                0        14449.758                0        3862.6406                0        -24151384                0
               -1               -5                0        19687.672                0        4058.7998                0        -26063468                0
             -0.9               -5                0        17327.547                0        2158.0166                0        -27790516                0
             -0.8               -5                0        4414.3613                0       -995.69043                0        -29285380                0
             -0.7               -5                0       -7806.1133                0       -2539.0996                0        -30638788                0
             -0.6               -5                0       -19333.863                0       -2472.2124                0        -31850736                0
             -0.5               -5                0       -30168.908                0        -795.0304                0        -32921236                0
             -0.4               -5                0       -29475.447                0        6867.8701                0        -33768540                0
             -0.3               -5                0       -18986.479                0        11541.996                0        -34416004                0
             -0.2               -5                0       -2390.3599                0        10320.408                0        -34893212                0
             -0.1               -5                0        20312.908                0         3203.104                0        -35200164                0
                0               -5                0       -49123.316                0       -9809.9141                0        -35336864                0
              0.1               -5                0       -20312.908                0         3203.104                0        -35200164                0
              0.2               -5                0        2390.3599                0        10320.408                0        -34893212                0
              0.3               -5                0        18986.479                0        11541.996                0        -34416004                0
              0.4               -5                0        29475.447                0        6867.8701                0        -33768540                0
              0.5               -5                0        30168.908                0        -795.0304                0        -32921236                0
              0.6               -5                0        19333.863                0       -2472.2124                0        -31850736                0
              0.7               -5                0        7806.1133                0       -2539.0996                0        -30638788                0
              0.8               -5                0       -4414.3613                0       -995.69043                0        -29285380                0
              0.9               -5                0       -17327.547                0        2158.0166                0        -27790516                0
                1               -5                0       -19687.672                0        4058.7998                0        -26063468                0
              1.1               -5                0       -14449.758                0        3862.6406                0        -24151384                0
              1.2               -5                0       -9507.8789                0        3161.4863                0        -22124052                0
              1.3               -5                0       -4862.0396                0        1955.3408                0        -19981476                0
              1.4               -5                0       -512.22961                0        244.20374                0        -17723648                0
              1.5               -5                0        494.00928                0        2055.7441                0        -15316946                0
              1.6               -5                0       -625.13281                0        5438.4961                0        -12821346                0
              1.7               -5                0       -3536.0352                0        9929.2686                0        -10243564                0
              1.8               -5                0       -8238.6914                0        15528.058                0       -7583606.5                0
              1.9               -5                0       -12873.782                0            19275                0         -4836537                0
                2               -5                0       -9392.8525                0         10527.56                0       -2014685.2                0
              2.1               -5                0       -6275.8467                0        4324.0371                0        835589.75                0
              2.2               -5                0       -3522.7544                0        664.41309                0        3714298.5                0
              2.3               -5                0        -1133.589                0       -451.29395                0          6621428                0
              2.4               -5                0       -421.19214                0       -2651.8918                0          9551782                0
              2.5               -5                0       -666.76093                0       -5965.9824                0         12476206                0
              2.6               -5                0       -3.1287842                0       -5973.1299                0         15390356                0
              2.7               -5                0        1569.7091                0       -2673.3245                0         18294238                0
              2.8               -5                0        4051.7446                0        3933.4207                0         21187842                0
              2.9               -5                0        5009.5107                0        1013.2888                0         23987712                0
                3               -5                0        5499.6152                0       -3054.2085                0         26709328                0
              3.1               -5                0        6229.1914                0       -4148.1577                0         29374060                0
              3.2               -5                0        7198.2412                0       -2268.5491                0         31981908                0
              3.3               -5                0        1850.3982                0        2429.6541                0         34492008                0
              3.4               -5                0       -7803.1514                0        7508.1704                0         36866272                0
              3.5               -5                0       -7050.3398                0        12154.459                0         39172728                0
              3.6               -5                0       -6984.6133                0        8320.7344                0         41359476                0
              3.7               -5                0        379.86505                0        5373.9062                0         43452316                0
              3.8               -5                0        1791.6602                0        4568.6006                0         45409444                0
              3.9               -5                0       -3840.3276                0       -584.40894                0         47204912                0
                4               -5                0       -13958.807                0        -2637.158                0         48800040                0
              4.1               -5                0       -7209.5063                0       -9332.6738                0         50269672                0
              4.2               -5                0         15858.75                0        -21403.34                0         51646656                0
              4.3               -5                0        18591.264                0       -20594.055                0         52856376                0
              4.4               -5                0       -7188.8955                0       -8406.5166                0         53882208                0
              4.5               -5                0       -22295.436                0        2112.3125                0         54664136                0
              4.6               -5                0       -4402.4302                0        385.74283                0         55285528                0
              4.7               -5                0        755.98511                0        1377.2338                0         55786340                0
              4.8               -5                0        12565.688                0        453.20319                0         56182808                0
              4.9               -5                0        19651.514                0       -6209.4673                0         56412896                0
                5               -5                0        12894.079                0       -12899.859                0         56483524                0
               -5             -4.9                0        14005.251                0       -6492.2666                0         56433864                0
             -4.9             -4.9                0       -1606.3252                0       -3923.3511                0         56393260                0
             -4.8             -4.9                0       -3446.4966                0       -1195.3857                0         56194620                0
             -4.7             -4.9                0        9457.8721                0         2798.051                0         55832188                0
             -4.6             -4.9                0        20170.363                0        5942.8291                0         55350596                0
             -4.5             -4.9                0        23709.947                0        7007.3936                0         54764928                0
             -4.4             -4.9                0        20833.301                0          6070.27                0         54074080                0
             -4.3             -4.9                0       -10915.225                0       -11464.499                0         53012640                0
             -4.2             -4.9                0       -24107.453                0       -18601.488                0         51793592                0
             -4.1             -4.9                0       -17147.543                0       -13063.947                0         50467608                0
