           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                1       -9216.2471                0       -9213.8877                0        8430.9785                0
             -4.9               -5                1       -5678.3472                0       -4932.9214                0        3392257.8                0
             -4.8               -5                1       -980.86609                0        1258.2284                0        6751263.5                0
             -4.7               -5                1        2756.5732                0       -1784.3601                0         10030834                0
             -4.6               -5                1       -1669.8987                0         1277.493                0         13247398                0
             -4.5               -5                1       -11602.892                0        3664.2246                0         16395150                0
             -4.4               -5                1       -4160.4648                0        9458.5996                0         19413346                0
             -4.3               -5                1        16760.615                0        8911.2627                0         22178712                0
             -4.2               -5                1        2978.6011                0        6767.2739                0         24777268                0
             -4.1               -5                1       -30215.109                0        4200.3799                0         27191008                0
               -4               -5                1       -36430.188                0        6069.5859                0         29441424                0
             -3.9               -5                1       -8107.8848                0        5742.0376                0         31446568                0
             -3.8               -5                1        12806.814                0       -3794.8806                0         33158784                0
             -3.7               -5                1        15881.703                0       -6954.4336                0         34572440                0
             -3.6               -5                1        2504.5752                0       -12821.311                0         35665360                0
             -3.5               -5                1       -7406.2881                0       -16868.484                0         36510308                0
             -3.4               -5                1       -11849.688                0       -9666.6162                0         37135440                0
             -3.3               -5                1        8819.7188                0       -2451.7375                0         37569520                0
             -3.2               -5                1         16096.66                0        4801.3887                0         37568748                0
             -3.1               -5                1        11067.309                0        8064.5596                0         37255652                0
               -3               -5                1        6534.2646                0        6618.9243                0         36731684                0
             -2.9               -5                1        2497.5142                0        464.49414                0         35996856                0
             -2.8               -5                1        309.00107                0       -2396.1975                0         34973156                0
             -2.7               -5                1        1885.3551                0        12485.861                0         33522132                0
             -2.6               -5                1        2511.2144                0        19082.205                0         31898902                0
             -2.5               -5                1        2186.5786                0        17392.811                0         30103476                0
             -2.4               -5                1        911.44696                0        7417.6987                0         28135852                0
             -2.3               -5                1        2111.0083                0       -1202.1472                0         25951194                0
