           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                0                0        50719.277                0        50748.648                0      -0.26874003
             -4.9               -5                0                0        50708.086                0        53073.066                0        1.2491997
             -4.8               -5                0                0        50699.801                0        55360.652                0        1.8578659
             -4.7               -5                0                0        50638.953                0        57334.359                0      -0.12525141
             -4.6               -5                0                0        50597.285                0        59297.816                0      -0.33107394
             -4.5               -5                0                0        50416.375                0        61190.441                0       -2.3718743
             -4.4               -5                0                0        50218.898                0        62957.746                0      -0.24729224
             -4.3               -5                0                0        49978.223                0        64452.004                0        3.2763343
             -4.2               -5                0                0        49737.219                0        65910.516                0        2.8540838
             -4.1               -5                0                0        49506.188                0        67322.203                0      -0.66586792
               -4               -5                0                0        49259.148                0        68434.734                0       0.88749218
             -3.9               -5                0                0          49011.5                0        69375.664                0        6.6829424
             -3.8               -5                0                0        48689.605                0        70264.984                0        7.0406489
             -3.7               -5                0                0         48363.09                0        71118.039                0        3.0648587
             -3.6               -5                0                0        47963.867                0        71591.352                0        2.5499046
             -3.5               -5                0                0        47544.719                0        71933.742                0         3.175087
             -3.4               -5                0                0        47135.672                0        72160.695                0        1.8044066
             -3.3               -5                0                0        46737.707                0        72356.172                0        1.4617169
             -3.2               -5                0                0        46355.094                0        72219.258                0    0.00063353777
             -3.1               -5                0                0        45990.688                0         71876.57                0       -1.3126352
               -3               -5                0                0         45643.07                0        71499.461                0       -1.1750436
             -2.9               -5                0                0         45312.25                0        71087.922                0       0.41340399
             -2.8               -5                0                0        44944.625                0        70495.516                0        1.5169494
             -2.7               -5                0                0        44429.703                0        69413.844                0       -1.7491298
             -2.6               -5                0                0        43933.512                0        68292.469                0        -3.325067
             -2.5               -5                0                0        43456.059                0        67131.422                0       -3.2108548
             -2.4               -5                0                0         42997.34                0        65930.672                0       -1.4064994
             -2.3               -5                0                0        42581.527                0        64434.648                0      -0.90117836
             -2.2               -5                0                0        42207.906                0        62684.836                0       -1.8244791
             -2.1               -5                0                0        41856.469                0        60903.055                0       -1.7673635
               -2               -5                0                0        41527.211                0        59089.309                0      -0.72982693
             -1.9               -5                0                0        41220.141                0        57243.594                0        1.2881265
             -1.8               -5                0                0        40798.664                0        54899.805                0       0.73448706
             -1.7               -5                0                0        40372.152                0        52450.254                0     -0.071587563
             -1.6               -5                0                0        39968.672                0        49992.461                0      -0.44906425
             -1.5               -5                0                0        39588.219                0         47526.43                0      -0.39795208
             -1.4               -5                0                0        39239.582                0        45000.543                0     -0.096796036
             -1.3               -5                0                0        38980.375                0        42097.762                0      -0.45878124
             -1.2               -5                0                0        38750.305                0            39189                0     -0.057062149
             -1.1               -5                0                0        38549.367                0        36274.258                0        1.1083612
               -1               -5                0                0         38377.57                0        33353.539                0        3.0374873
             -0.9               -5                0                0        38170.246                0        30283.439                0        2.3085525
             -0.8               -5                0                0        37901.191                0        27006.371                0        -1.305769
             -0.7               -5                0                0        37661.691                0        23724.986                0       -2.4952779
