           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                1                0        2050.2229                0       -2109.4373                0        4.4789848
             -4.9               -5                1                0        2879.9546                0         3483.125                0        5.3435631
             -4.8               -5                1                0        3734.9177                0        9118.0635                0        3.8744373
             -4.7               -5                1                0        4754.9824                0         15031.23                0        4.2862563
             -4.6               -5                1                0        5807.4722                0        20949.104                0      -0.72744811
             -4.5               -5                1                0         6659.665                0        26767.775                0     -0.065531969
             -4.4               -5                1                0        7562.8706                0         32596.83                0        -6.161787
             -4.3               -5                1                0        8526.4922                0        38471.691                0       -15.230686
             -4.2               -5                1                0        9725.6875                0        44086.562                0       -11.468901
             -4.1               -5                1                0        11143.102                0        49472.332                0       0.68891525
               -4               -5                1                0         12605.34                0        54726.484                0        2.4271317
             -3.9               -5                1                0        14079.227                0        59853.387                0       -6.4093456
             -3.8               -5                1                0        15454.059                0        64887.969                0       -10.038522
             -3.7               -5                1                0         16744.76                0        69858.219                0       -4.6528988
             -3.6               -5                1                0        17980.975                0        74330.391                0        -1.142745
             -3.5               -5                1                0        19313.523                0        78494.805                0       0.11626664
             -3.4               -5                1                0        20881.846                0        82355.719                0       -1.0851464
             -3.3               -5                1                0        22467.789                0        86174.383                0       -6.7532301
             -3.2               -5                1                0        24073.541                0         89344.18                0       -4.0492034
             -3.1               -5                1                0        25704.752                0        92175.633                0       0.67874944
               -3               -5                1                0        27361.699                0        94922.195                0        2.1059408
             -2.9               -5                1                0        29044.375                0        97583.875                0       0.23238558
             -2.8               -5                1                0        30679.447                0        99762.523                0       -2.7390182
             -2.7               -5                1                0        32106.717                0        100616.67                0      -0.68220603
             -2.6               -5                1                0        33547.891                0        101366.92                0       0.54110861
             -2.5               -5                1                0        35002.961                0        102013.24                0       0.93092096
             -2.4               -5                1                0        36471.934                0        102555.67                0       0.48723322
             -2.3               -5                1                0        37980.766                0        102318.36                0       -1.5161724
             -2.2               -5                1                0        39519.121                0        101398.09                0       -3.3971539
             -2.1               -5                1                0        41062.656                0        100377.52                0       -4.0547962
               -2               -5                1                0        42611.359                0        99256.586                0       -3.4890919
             -1.9               -5                1                0        44165.234                0         98035.32                0       -1.7000847
             -1.8               -5                1                0        45340.816                0        95166.961                0       -2.2832527
             -1.7               -5                1                0        46435.219                0         91939.68                0       -2.7976532
             -1.6               -5                1                0        47526.324                0        88675.906                0       -2.5452709
             -1.5               -5                1                0        48614.125                0        85375.625                0       -1.5261002
             -1.4               -5                1                0         49699.34                0        81880.133                0       0.15377188
             -1.3               -5                1                0        50785.301                0        77209.586                0       0.67694664
             -1.2               -5                1                0        51866.086                0         72500.75                0      -0.10555267
             -1.1               -5                1                0        52941.695                0        67753.609                0       -2.1937103
               -1               -5                1                0        54012.137                0         62968.18                0       -5.5875344
             -0.9               -5                1                0        54815.566                0        57623.266                0       -4.8552928
             -0.8               -5                1                0        55246.297                0        51522.109                0        1.4078794
             -0.7               -5                1                0         55674.18                0        45406.535                0        5.2041588
             -0.6               -5                1                0        56099.211                0        39276.543                0        6.5335393
             -0.5               -5                1                0        56521.395                0        33132.125                0        5.3960252
             -0.4               -5                1                0        56899.891                0        26651.912                0       -2.7211821
             -0.3               -5                1                0        57255.484                0        20029.891                0       -3.2184114
             -0.2               -5                1                0          57604.5                0        13399.871                0        7.8179679
             -0.1               -5                1                0        57946.949                0        6761.8569                0        30.387964
                0               -5                1                0        58282.828                0       -115.84843                0        -64.49157
              0.1               -5                1                0        57946.949                0       -6761.8569                0       -30.387964
              0.2               -5                1                0          57604.5                0       -13399.871                0       -7.8179679
              0.3               -5                1                0        57255.484                0       -20029.891                0        3.2184114
              0.4               -5                1                0        56899.891                0       -26651.912                0        2.7211821
              0.5               -5                1                0        56521.395                0       -33132.125                0       -5.3960252
              0.6               -5                1                0        56099.211                0       -39276.543                0       -6.5335393
              0.7               -5                1                0         55674.18                0       -45406.535                0       -5.2041588
              0.8               -5                1                0        55246.297                0       -51522.109                0       -1.4078794
              0.9               -5                1                0        54815.566                0       -57623.266                0        4.8552928
                1               -5                1                0        54012.137                0        -62968.18                0        5.5875344
              1.1               -5                1                0        52941.695                0       -67753.609                0        2.1937103
              1.2               -5                1                0        51866.086                0        -72500.75                0       0.10555267
              1.3               -5                1                0        50785.301                0       -77209.586                0      -0.67694664
              1.4               -5                1                0         49699.34                0       -81880.133                0      -0.15377188
              1.5               -5                1                0        48614.125                0       -85375.625                0        1.5261002
              1.6               -5                1                0        47526.324                0       -88675.906                0        2.5452709
              1.7               -5                1                0        46435.219                0        -91939.68                0        2.7976532
              1.8               -5                1                0        45340.816                0       -95166.961                0        2.2832527
              1.9               -5                1                0        44165.234                0        -98035.32                0        1.7000847
                2               -5                1                0        42611.359                0       -99256.586                0        3.4890919
              2.1               -5                1                0        41062.656                0       -100377.52                0        4.0547962
              2.2               -5                1                0        39519.121                0       -101398.09                0        3.3971539
              2.3               -5                1                0        37980.766                0       -102318.36                0        1.5161724
              2.4               -5                1                0        36471.934                0       -102555.67                0      -0.48723322
              2.5               -5                1                0        35002.961                0       -102013.24                0      -0.93092096
              2.6               -5                1                0        33547.891                0       -101366.92                0      -0.54110861
              2.7               -5                1                0        32106.717                0       -100616.67                0       0.68220603
              2.8               -5                1                0        30679.447                0       -99762.523                0        2.7390182
              2.9               -5                1                0        29044.375                0       -97583.875                0      -0.23238558
                3               -5                1                0        27361.699                0       -94922.195                0       -2.1059408
              3.1               -5                1                0        25704.752                0       -92175.633                0      -0.67874944
              3.2               -5                1                0        24073.541                0        -89344.18                0        4.0492034
              3.3               -5                1                0        22467.789                0       -86174.383                0        6.7532301
              3.4               -5                1                0        20881.846                0       -82355.719                0        1.0851464
              3.5               -5                1                0        19313.523                0       -78494.805                0      -0.11626664
              3.6               -5                1                0        17980.975                0       -74330.391                0         1.142745
              3.7               -5                1                0         16744.76                0       -69858.219                0        4.6528988
              3.8               -5                1                0        15454.059                0       -64887.969                0        10.038522
              3.9               -5                1                0        14079.227                0       -59853.387                0        6.4093456
                4               -5                1                0         12605.34                0       -54726.484                0       -2.4271317
              4.1               -5                1                0        11143.102                0       -49472.332                0      -0.68891525
              4.2               -5                1                0        9725.6875                0       -44086.562                0        11.468901
              4.3               -5                1                0        8526.4922                0       -38471.691                0        15.230686
              4.4               -5                1                0        7562.8706                0        -32596.83                0         6.161787
              4.5               -5                1                0         6659.665                0       -26767.775                0      0.065531969
              4.6               -5                1                0        5807.4722                0       -20949.104                0       0.72744811
              4.7               -5                1                0        4754.9824                0        -15031.23                0       -4.2862563
              4.8               -5                1                0        3734.9177                0       -9118.0635                0       -3.8744373
              4.9               -5                1                0        2879.9546                0        -3483.125                0       -5.3435631
                5               -5                1                0        2050.2229                0        2109.4373                0       -4.4789848
               -5             -4.9                1                0       -3519.4458                0       -2922.8887                0     -0.038252831
             -4.9             -4.9                1                0       -2672.3857                0        2643.2388                0        1.9007263
             -4.8             -4.9                1                0       -1805.4717                0        8241.5078                0        1.2680706
             -4.7             -4.9                1                0       -828.26917                0        14016.455                0         4.204021
             -4.6             -4.9                1                0        245.35718                0        19903.887                0        6.4310727
             -4.5             -4.9                1                0        1355.8433                0        25797.777                0        3.0417593
             -4.4             -4.9                1                0        2484.5769                0         31688.66                0       -4.9852943
             -4.3             -4.9                1                0        3683.6128                0        37212.258                0       -9.7815695
             -4.2             -4.9                1                0        5039.8789                0        42592.094                0       -8.9451246
             -4.1             -4.9                1                0        6464.7109                0        47938.734                0       -4.3383017
               -4             -4.9                1                0        7955.6035                0        53238.039                0        3.1667676
             -3.9             -4.9                1                0        9463.4639                0        58352.344                0        3.3278732
             -3.8             -4.9                1                0        10989.914                0        63406.484                0        2.3697567
             -3.7             -4.9                1                0        12534.947                0        68400.422                0       0.29241967
             -3.6             -4.9                1                0         14141.39                0        72980.156                0     0.0019383356
             -3.5             -4.9                1                0        15738.189                0        76877.625                0        4.6558485
             -3.4             -4.9                1                0        17352.607                0        80732.836                0        4.8431072
             -3.3             -4.9                1                0        18984.648                0        84545.812                0       0.56369829
             -3.2             -4.9                1                0         20648.01                0        87711.344                0        1.4907064
             -3.1             -4.9                1                0        22341.691                0        90542.758                0        3.0287764
