           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
                0                0                0       -3585.6028                0        3585.6028                0        -51648020                0
                0                0             0.02       -3337.6035                0        4496.1172                0        -51647188                0
                0                0             0.04       -3126.4297                0        5319.5493                0        -51646512                0
                0                0             0.06       -2952.0811                0        6055.8975                0        -51645984                0
                0                0             0.08       -2814.5586                0        6705.1626                0        -51645608                0
                0                0              0.1       -2713.8613                0        7267.3447                0        -51645384                0
                0                0             0.12       -2649.9895                0        7742.4434                0        -51645316                0
                0                0             0.14       -2622.9436                0         8130.459                0        -51645400                0
                0                0             0.16       -2632.7229                0        8431.3916                0        -51645640                0
                0                0             0.18       -2679.3279                0        8645.2412                0        -51646028                0
                0                0              0.2       -2762.7581                0        8772.0068                0        -51646572                0
                0                0             0.22       -2883.0142                0        8811.6895                0        -51647268                0
                0                0             0.24       -3040.0957                0        8764.2891                0        -51648116                0
                0                0             0.26       -3234.0027                0        8629.8057                0        -51649116                0
                0                0             0.28       -3464.7351                0        8408.2383                0        -51650268                0
                0                0              0.3       -3732.2932                0        8099.5884                0        -51651576                0
                0                0             0.32       -4036.6768                0        7703.8555                0        -51653036                0
                0                0             0.34       -4377.8853                0        7221.0396                0        -51654648                0
                0                0             0.36       -4755.9209                0        6651.1387                0        -51656408                0
                0                0             0.38       -5170.7803                0        5994.1567                0        -51658328                0
                0                0              0.4       -5622.4663                0        5250.0903                0        -51660400                0
                0                0             0.42        -6110.978                0        4418.9404                0        -51662624                0
                0                0             0.44        -6636.314                0        3500.7092                0        -51665000                0
                0                0             0.46       -7198.4775                0        2495.3914                0        -51667528                0
                0                0             0.48       -7797.4644                0        1402.9934                0        -51670212                0
                0                0              0.5       -8433.2773                0        223.51253                0        -51673044                0
                0                0             0.52        -8095.585                0       -439.27808                0        -51670984                0
                0                0             0.54       -7757.9229                0       -1047.5813                0        -51668992                0
                0                0             0.56         -7420.29                0       -1601.3986                0        -51667076                0
                0                0             0.58       -7082.6885                0       -2100.7266                0        -51665232                0
                0                0              0.6       -6745.1162                0       -2545.5679                0        -51663464                0
                0                0             0.62       -6407.5742                0       -2935.9216                0        -51661764                0
                0                0             0.64       -6070.0625                0       -3271.7871                0        -51660136                0
                0                0             0.66       -5732.5801                0        -3553.166                0        -51658588                0
                0                0             0.68       -5395.1289                0       -3780.0566                0        -51657112                0
                0                0              0.7       -5057.7075                0       -3952.4595                0        -51655708                0
                0                0             0.72       -4720.3159                0       -4070.3755                0        -51654380                0
                0                0             0.74       -4382.9551                0       -4133.8037                0        -51653116                0
                0                0             0.76       -4045.6243                0       -4142.7441                0        -51651932                0
                0                0             0.78       -3708.3237                0       -4097.1968                0        -51650824                0
                0                0              0.8        -3371.052                0       -3997.1621                0        -51649784                0
                0                0             0.82       -3033.8115                0       -3842.6401                0        -51648816                0
                0                0             0.84       -2696.6011                0       -3633.6304                0        -51647920                0
                0                0             0.86       -2359.4199                0       -3370.1328                0        -51647104                0
                0                0             0.88       -2022.2699                0       -3052.1479                0        -51646360                0
                0                0              0.9       -1685.1499                0        -2679.676                0        -51645684                0
                0                0             0.92       -1348.0591                0       -2252.7151                0        -51645084                0
                0                0             0.94       -1010.9995                0       -1771.2682                0        -51644560                0
                0                0             0.96       -673.96985                0       -1235.3335                0        -51644100                0
                0                0             0.98       -336.96936                0       -644.90973                0        -51643724                0
                0                0                1                0                0                0                0        -51643416                0
