           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
                0         3.150315         0.324218                0                0                0                0                0                0
                0         3.150315         0.972654                0                0                0                0                0                0
                0         3.150315          1.62109                0                0                0                0                0                0
                0         3.150315         2.269526                0                0                0                0                0                0
                0         3.150315         2.917962                0                0                0                0                0                0
                0         3.150315         3.566398                0                0                0                0                0                0
                0         3.150315         4.214834                0                0                0                0                0                0
                0         3.150315          4.86327                0                0                0                0                0                0
                0         3.150315         5.511706                0                0                0                0                0                0
                0         3.150315         6.160142                0                0                0                0                0                0
                0         3.150315         6.808578                0                0                0                0                0                0
                0         3.150315         7.457014                0                0                0                0                0                0
                0         3.150315          8.10545                0                0                0                0                0                0
                0         3.150315         8.753886                0                0                0                0                0                0
                0         3.150315         9.402322                0                0                0                0                0                0
                0         3.150315        10.050758        75.573479                0        5382.9077                0       -566.85785                0
                0         3.150315        10.699194        733.64545                0         15658.69                0        29513.074                0
                0         3.150315         11.34763        329.60236                0        119156.94                0        54072.305                0
                0         3.150315        11.996066       -1119.2784                0        207537.72                0        36628.305                0
                0         3.150315        12.644502       -2603.3967                0        265203.88                0        16759.703                0
                0         3.150315        13.292938       -1751.6533                0        306878.44                0        6211.8477                0
                0         3.150315        13.941374       -5263.6797                0        332702.16                0        458.40186                0
                0         3.150315         14.58981       -2801.9058                0        356342.06                0       -647.75592                0
                0         3.150315        15.238246        -3371.835                0        368279.81                0       -2864.9731                0
                0         3.150315        15.886682        -1918.116                0        373851.25                0       -280.65417                0
                0         3.150315        16.535118       -6112.1533                0        373917.94                0       -703.78442                0
                0         3.150315        17.183554        384.10199                0        364606.75                0        1461.4979                0
                0         3.150315         17.83199       -1014.7718                0        356458.34                0        114.87244                0
                0         3.150315        18.480426        56.431976                0        332493.22                0       -431.64996                0
                0         3.150315        19.128862        1032.0791                0        307347.97                0        -6410.877                0
                0         3.150315        19.777298        1460.8682                0        265507.75                0        -16829.74                0
                0         3.150315        20.425734        106.61405                0           206154                0       -35964.867                0
                0         3.150315         21.07417       -745.44739                0        118918.79                0       -54656.973                0
                0         3.150315        21.722606        867.14441                0        14988.072                0       -29736.578                0
                0         3.150315        22.371042        -77.02729                0        5003.3003                0        503.87494                0
                0         3.150315        23.019478                0                0                0                0                0                0
                0         3.150315        23.667914                0                0                0                0                0                0
                0         3.150315         24.31635                0                0                0                0                0                0
                0         3.150315        24.964786                0                0                0                0                0                0
                0         3.150315        25.613222                0                0                0                0                0                0
                0         3.150315        26.261658                0                0                0                0                0                0
                0         3.150315        26.910094                0                0                0                0                0                0
                0         3.150315         27.55853                0                0                0                0                0                0
                0         3.150315        28.206966                0                0                0                0                0                0
                0         3.150315        28.855402                0                0                0                0                0                0
                0         3.150315        29.503838                0                0                0                0                0                0
                0         3.150315        30.152274                0                0                0                0                0                0
                0         3.150315         30.80071                0                0                0                0                0                0
                0         3.150315        31.449146                0                0                0                0                0                0
                0         3.150315        32.097582                0                0                0                0                0                0
                0         3.150315        32.746018                0                0                0                0                0                0
