,Re,Im
100000000.0,2.9198865547641617e-13,0.9041388362685696
111823647.29458918,-1.4338530363033897e-13,1.0120500440693265
123647294.58917835,1.6092682741941644e-13,1.1203021660192027
135470941.88376755,2.395861287141088e-13,1.2289328409154598
147294589.1783567,1.1080025785759062e-13,1.3379801981709125
159118236.4729459,-7.390199563417355e-13,1.4474829100563604
170941883.7675351,2.036149027162537e-13,1.557480245449474
182765531.06212425,2.0394796962364126e-13,1.6680121252707056
194589178.3567134,-1.1329825966299722e-13,1.7791191797785628
206412825.6513026,9.592326932761353e-14,1.8908428079023043
218236472.9458918,-7.527312106958561e-14,2.00322523881425
230060120.24048096,-4.3548498140921765e-13,2.116309595927745
241883767.53507015,-5.173639294753229e-13,2.2301399635094312
253707414.8296593,-2.3503421431314564e-13,2.344761456237938
265531062.1242485,-1.2323475573339238e-14,2.4602202918059457
277354709.41883767,3.4583447217073626e-13,2.5765638669670388
289178356.7134268,9.18709552877317e-14,2.69384083717629
301002004.00801605,2.0128343436454088e-13,2.8121012002566035
312825651.3026052,4.851674617611934e-14,2.931396384295331
324649298.59719443,2.935429677108914e-13,3.0517793401740994
336472945.8917836,-2.402522625288839e-13,3.17330463911477
348296593.18637276,-1.759703494030873e-13,3.2960285755907925
360120240.4809619,1.8207657603852567e-14,3.4200092761016254
371943887.7755511,-6.17284001691587e-14,3.5453068142161692
383767535.0701403,1.7841284005726266e-13,3.6719833324533315
395591182.36472946,-1.27675647831893e-13,3.800103171489753
407414829.6593186,2.2648549702353193e-14,3.929733007353003
419238476.95390785,1.3455903058456897e-13,4.060941997192387
431062124.248497,8.715250743307479e-14,4.193801934390018
442885771.5430862,3.8624659026709196e-13,4.328387413734437
454709418.83767533,2.6434410216324977e-13,4.4647760075340335
466533066.13226455,1.0980105713542798e-13,4.603048453560264
478356713.4268537,-5.984102102729594e-14,4.743288855864513
490180360.7214429,1.4976908602193362e-13,4.885584899514338
502004008.0160321,1.234568003383174e-13,5.030028080499086
513827655.31062126,-1.87960758069039e-13,5.176713952123543
525651302.6052104,1.2434497875801753e-13,5.325742389311509
537474949.8997996,-1.9251267247000214e-13,5.477217872456158
549298597.1943889,3.89910326248355e-13,5.631249792566566
561122244.4889779,1.0746958878371515e-13,5.787952779637939
572945891.7835672,-1.1857181902996672e-13,5.94744705641202
