,Re,Im
1400000000.0,90.45090437446956,117.58600939913154
1400753768.844221,92.44838766551918,118.19900191380748
1401507537.6884422,94.50137437680179,118.79275152682261
1402261306.5326633,96.61127440148076,119.36518586226484
1403015075.3768845,98.77949030405644,119.91408849464361
1403768844.2211056,101.00741049650563,120.4370909752219
1404522613.0653267,103.29640150532249,120.93166467694131
1405276381.9095478,105.64779924367366,121.3951125024895
1406030150.753769,108.06289919820215,121.82456051058699
1406783919.59799,110.54294543596357,122.21694952798751
1407537688.4422112,113.08911833332954,122.56902682843341
1408291457.2864323,115.70252092617947,122.87733797556467
1409045226.1306534,118.3841637792412,123.13821894443782
1409798994.9748743,121.1349482726637,123.34778865575967
1410552763.8190954,123.95564820589226,123.50194207891644
1411306532.6633165,126.84688962352101,123.59634408344482
1412060301.5075376,129.80912877524395,123.62642424463004
1412814070.3517587,132.84262813306276,123.58737283677937
1413567839.1959798,135.94743040402852,123.47413827739028
1414321608.040201,139.12333049721343,123.2814263165826
1415075376.884422,142.3698454291603,123.0037012984319
1415829145.7286432,145.6861821847432,122.6351898533187
1416582914.5728643,149.0712035898961,122.16988741286463
1417336683.4170854,152.52339230077587,121.60156796952093
1418090452.2613065,156.04081307053335,120.92379753119172
1418844221.1055276,159.62107352150335,120.12995174477403
1419597989.9497488,163.261283726829,119.21323818001902
1420351758.7939699,166.95801499244254,118.166723774129
1421105527.638191,170.70725832716755,116.98336793551748
1421859296.482412,174.5043831950032,115.65606178924551
1422613065.3266332,178.34409725890018,114.17767401408489
1423366834.1708543,182.22040794653145,112.54110366809851
1424120603.0150754,186.1265867943979,110.73934032338114
1424874371.8592966,190.05513765232826,108.76553172756674
1425628140.7035177,193.9977699522972,106.61305907714537
1426381909.5477388,197.94537835733104,104.27561982321009
1427135678.39196,201.88803020132133,101.74731773245085
1427889447.236181,205.8149622013416,99.02275969520952
1428643216.080402,209.71458796142636,96.09715850883558
1429396984.924623,213.57451778173237,92.96644057277909
1430150753.7688441,217.38159222981858,89.62735711681194
1430904522.6130652,221.12193081279025,86.07759725417968
1431658291.4572864,224.78099690135718,82.31590081860504
1432412060.3015075,228.34367979387272,78.34216862183249
1433165829.1457286,231.79439446632082,74.15756747328624
1433919597.9899497,235.11719913271745,69.76462705491494
1434673366.8341708,238.2959302446949,65.16732556192649
1435427135.678392,241.31435399816667,60.37116092514273
1436180904.522613,244.15633280475467,55.38320444251066
1436934673.3668342,246.80600454743103,50.212133782818114
1437688442.2110553,249.24797179988394,44.86824259688957
1438442211.0552764,251.4674975786267,39.363424387019975
1439195979.8994975,253.45070365110752,33.7111288425628
1439949748.7437186,255.1847669756308,27.92628953981533
1440703517.5879397,256.65810953563215,22.025222706810965
1441457286.4321609,257.8605766804638,16.025497641159703
1442211055.276382,258.7835991209694,9.945780303656505
1442964824.120603,259.42033396455145,3.8056525485119153
1443718592.9648242,259.76578061328996,-2.3745896539373064
1444472361.8090453,259.8168679806728,-8.5741548444569
1445226130.6532664,259.57251028423934,-14.77198672968656
1445979899.4974875,259.0336296090444,-20.94700155499325
1446733668.3417087,258.2031444663245,-27.07832660531838
1447487437.1859295,257.0859246421676,-33.145534187600475
1448241206.0301507,255.68871368825353,-39.12886562022058
1448994974.8743718,254.02002139865584,-45.00944014455905
1449748743.718593,252.0899894940278,-50.76944425858119
1450502512.562814,249.9102344575345,-56.39229771689665
1451256281.407035,247.49367200652165,-61.86279330409991
1452010050.2512562,244.85432802224875,-67.1672084203019
1452763819.0954773,242.00714089345584,-72.29338747051986
1453517587.9396985,238.9677601658178,-77.23079497672794
1454271356.7839196,235.75234614690413,-81.9705401911381
